0.5 0.5 1.38216 -0.401823 -0.000151144 2.86382 1 1.58331
1.5 0.5 1.38174 -0.401516 -0.000140054 2.86364 1 1.58272
2.5 0.5 1.38145 -0.401296 -0.000152248 2.8635 1 1.58231
3.5 0.5 1.38114 -0.401045 -0.000164024 2.86332 1 1.58186
4.5 0.5 1.38084 -0.400773 -0.000184667 2.86312 1 1.5814
5.5 0.5 1.38051 -0.400455 -0.000208891 2.86287 1 1.58089
6.5 0.5 1.38017 -0.400095 -0.00023635 2.86259 1 1.58034
7.5 0.5 1.3798 -0.399688 -0.000266479 2.86227 1 1.57975
8.5 0.5 1.37941 -0.399235 -0.000298673 2.86191 1 1.57909
9.5 0.5 1.37898 -0.39873 -0.000331406 2.86151 1 1.57838
10.5 0.5 1.37851 -0.398167 -0.000363731 2.86109 1 1.57762
11.5 0.5 1.37803 -0.397531 -0.000395937 2.86065 1 1.57682
12.5 0.5 1.37753 -0.396802 -0.000428913 2.86018 1 1.576
13.5 0.5 1.37706 -0.395955 -0.000462414 2.8597 1 1.57519
14.5 0.5 1.37661 -0.394979 -0.00049772 2.85922 1 1.57441
15.5 0.5 1.37619 -0.393873 -0.000534998 2.85873 1 1.57367
16.5 0.5 1.37582 -0.392644 -0.000572642 2.85825 1 1.57297
17.5 0.5 1.37548 -0.3913 -0.000612324 2.85777 1 1.57233
18.5 0.5 1.37519 -0.389846 -0.000656957 2.8573 1 1.57173
19.5 0.5 1.37495 -0.388284 -0.00070749 2.85683 1 1.5712
20.5 0.5 1.37474 -0.386614 -0.000759776 2.85636 1 1.5707
21.5 0.5 1.37457 -0.384848 -0.000811629 2.8559 1 1.57025
22.5 0.5 1.37442 -0.382981 -0.000867903 2.85544 1 1.56983
23.5 0.5 1.37428 -0.381018 -0.000921756 2.85497 1 1.56941
24.5 0.5 1.37416 -0.378969 -0.000968648 2.85446 1 1.569
25.5 0.5 1.37405 -0.376845 -0.0010113 2.85394 1 1.56858
26.5 0.5 1.37395 -0.374647 -0.00105055 2.85339 1 1.56816
27.5 0.5 1.37386 -0.372376 -0.00108649 2.85282 1 1.56775
28.5 0.5 1.37378 -0.370032 -0.00111884 2.85224 1 1.56733
29.5 0.5 1.37371 -0.367612 -0.00114752 2.85164 1 1.56693
30.5 0.5 1.37365 -0.365117 -0.0011731 2.85106 1 1.56655
31.5 0.5 1.3736 -0.36255 -0.00119679 2.85051 1 1.56618
32.5 0.5 1.37354 -0.359914 -0.0012198 2.84998 1 1.56583
33.5 0.5 1.37349 -0.357218 -0.00124368 2.84947 1 1.56549
34.5 0.5 1.37345 -0.354465 -0.00127005 2.84895 1 1.56515
35.5 0.5 1.37341 -0.351662 -0.00129796 2.8484 1 1.56481
36.5 0.5 1.37336 -0.348816 -0.00132692 2.84782 1 1.56444
37.5 0.5 1.37328 -0.345936 -0.00135732 2.84723 1 1.56402
38.5 0.5 1.37315 -0.343035 -0.00138942 2.84663 1 1.56354
39.5 0.5 1.37297 -0.340123 -0.00142142 2.84601 1 1.563
40.5 0.5 1.37274 -0.337211 -0.0014511 2.84538 1 1.56238
41.5 0.5 1.37245 -0.334304 -0.00147618 2.84473 1 1.5617
42.5 0.5 1.37212 -0.33141 -0.00149358 2.84407 1 1.56097
43.5 0.5 1.37176 -0.328531 -0.0015016 2.84342 1 1.56019
44.5 0.5 1.37139 -0.325656 -0.00150185 2.84278 1 1.55942
45.5 0.5 1.37103 -0.322774 -0.00149007 2.84219 1 1.55869
46.5 0.5 1.37071 -0.319886 -0.00147132 2.84165 1 1.55803
47.5 0.5 1.37043 -0.317 -0.00144766 2.84118 1 1.55745
48.5 0.5 1.37019 -0.314114 -0.00142103 2.84078 1 1.55697
49.5 0.5 1.36998 -0.311257 -0.00138804 2.84044 1 1.55654
50.5 0.5 1.36978 -0.308452 -0.00135203 2.84016 1 1.55616
51.5 0.5 1.3696 -0.305715 -0.00131694 2.83993 1 1.55582
52.5 0.5 1.3694 -0.303064 -0.00127655 2.83973 1 1.55549
53.5 0.5 1.36919 -0.300519 -0.00123263 2.83955 1 1.55515
54.5 0.5 1.36896 -0.298094 -0.0011848 2.83938 1 1.5548
55.5 0.5 1.36871 -0.295806 -0.00113248 2.8392 1 1.55441
56.5 0.5 1.36841 -0.293665 -0.00107495 2.83902 1 1.55398
57.5 0.5 1.3681 -0.291672 -0.00101167 2.83883 1 1.55352
58.5 0.5 1.36778 -0.289817 -0.000942775 2.83864 1 1.55306
59.5 0.5 1.36749 -0.288083 -0.000867279 2.83848 1 1.55264
60.5 0.5 1.36722 -0.286475 -0.000787486 2.83833 1 1.55225
61.5 0.5 1.36696 -0.285 -0.000703141 2.8382 1 1.55189
62.5 0.5 1.36676 -0.283623 -0.000618247 2.83813 1 1.55162
63.5 0.5 1.36663 -0.282339 -0.000536152 2.83812 1 1.55147
64.5 0.5 1.36656 -0.281165 -0.000453465 2.83816 1 1.5514
65.5 0.5 1.36651 -0.280114 -0.000367791 2.83824 1 1.5514
