-0.75 1.36776 -0.396799 -4.60174e-06 2.84421 1.55608 1
-0.25 1.36779 -0.39678 1.50059e-06 2.84423 1.55612 1
0.25 1.36779 -0.396778 -9.15684e-07 2.84423 1.55613 1
0.75 1.36777 -0.396797 6.31251e-06 2.84421 1.55609 1
1.25 1.36772 -0.396819 5.45825e-06 2.84417 1.55601 1
1.75 1.36764 -0.396852 -2.73508e-06 2.8441 1.55589 1
2.25 1.36754 -0.396893 -2.65605e-05 2.84401 1.55572 1
2.75 1.3674 -0.396946 -6.65377e-05 2.84389 1.5555 1
3.25 1.36723 -0.397007 -0.000128271 2.84374 1.55522 1
3.75 1.36701 -0.397076 -0.00021164 2.84356 1.55487 1
4.25 1.36675 -0.397158 -0.000320269 2.84333 1.55445 1
4.75 1.36644 -0.397256 -0.000457022 2.84307 1.55395 1
5.25 1.36607 -0.397366 -0.000627799 2.84276 1.55337 1
5.75 1.36566 -0.397482 -0.000838833 2.84242 1.55271 1
6.25 1.3652 -0.397601 -0.0010976 2.84203 1.55198 1
6.75 1.3647 -0.397734 -0.00141231 2.84161 1.55118 1
7.25 1.36416 -0.397899 -0.00178875 2.84116 1.55032 1
7.75 1.36358 -0.398079 -0.00223005 2.84068 1.5494 1
8.25 1.36298 -0.398274 -0.00273889 2.84017 1.54844 1
8.75 1.36234 -0.398488 -0.00331804 2.83965 1.54743 1
9.25 1.3617 -0.39871 -0.00397204 2.83911 1.54641 1
9.75 1.36106 -0.398934 -0.00471388 2.83858 1.54539 1
10.25 1.36045 -0.399157 -0.00551856 2.83807 1.54442 1
10.75 1.35993 -0.399341 -0.00633651 2.83763 1.54359 1
11.25 1.35955 -0.399501 -0.00713641 2.83732 1.54299 1
11.75 1.3593 -0.399624 -0.00794928 2.83711 1.54259 1
12.25 1.35919 -0.399699 -0.00872471 2.83702 1.54243 1
12.75 1.35925 -0.399753 -0.00947406 2.83707 1.54251 1
13.25 1.35941 -0.399791 -0.0102218 2.8372 1.54277 1
13.75 1.35966 -0.399808 -0.0109114 2.83742 1.54317 1
14.25 1.35997 -0.399797 -0.0115352 2.83768 1.54367 1
14.75 1.36031 -0.399767 -0.0120838 2.83796 1.54421 1
15.25 1.36066 -0.39975 -0.01255 2.83825 1.54476 1
15.75 1.361 -0.399747 -0.0129343 2.83854 1.5453 1
16.25 1.36134 -0.399763 -0.013244 2.83882 1.54584 1
16.75 1.36168 -0.399772 -0.0134759 2.8391 1.54637 1
17.25 1.36202 -0.399764 -0.0136351 2.83939 1.54692 1
17.75 1.36239 -0.399752 -0.0137293 2.83969 1.5475 1
18.25 1.36279 -0.399745 -0.013763 2.84003 1.54815 1
18.75 1.36321 -0.399749 -0.0137122 2.84038 1.54881 1
19.25 1.36366 -0.399751 -0.0136122 2.84076 1.54953 1
19.75 1.36415 -0.399734 -0.0134453 2.84116 1.55031 1
20.25 1.36469 -0.399677 -0.013224 2.84161 1.55117 1
20.75 1.36528 -0.399594 -0.0129427 2.8421 1.5521 1
21.25 1.36591 -0.399494 -0.0126073 2.84263 1.55311 1
21.75 1.3666 -0.3994 -0.0122193 2.8432 1.5542 1
22.25 1.36733 -0.399303 -0.0117782 2.84381 1.55537 1
22.75 1.36811 -0.399187 -0.0112842 2.84446 1.55662 1
23.25 1.36894 -0.399059 -0.0107354 2.84515 1.55794 1
23.75 1.36981 -0.39891 -0.0101322 2.84587 1.55933 1
24.25 1.37072 -0.398749 -0.00947566 2.84663 1.56077 1
24.75 1.37166 -0.398588 -0.00876997 2.8474 1.56227 1
25.25 1.37262 -0.398427 -0.0080174 2.84821 1.56381 1
25.75 1.37362 -0.398276 -0.00721965 2.84903 1.56539 1
26.25 1.37463 -0.398104 -0.00637679 2.84987 1.56701 1
26.75 1.37567 -0.397915 -0.00549205 2.85073 1.56866 1
27.25 1.37672 -0.397715 -0.00456629 2.8516 1.57034 1
27.75 1.3778 -0.397483 -0.00360242 2.85249 1.57206 1
28.25 1.37889 -0.39725 -0.00259574 2.8534 1.57382 1
28.75 1.38001 -0.397024 -0.00153915 2.85433 1.5756 1
29.25 1.38115 -0.396808 -0.000440725 2.85527 1.57742 1
29.75 1.38223 -0.396619 0.000620727 2.85616 1.57914 1
30.25 1.38322 -0.396451 0.0016209 2.85698 1.58073 1
30.75 1.38411 -0.396299 0.00254667 2.85771 1.58216 1
31.25 1.38488 -0.396169 0.00336525 2.85835 1.58339 1
31.75 1.38553 -0.396074 0.00407155 2.85889 1.58443 1
32.25 1.38609 -0.395998 0.00468203 2.85934 1.58532 1
32.75 1.38654 -0.395924 0.0051843 2.85971 1.58604 1
33.25 1.38686 -0.39587 0.00555568 2.85998 1.58655 1
33.75 1.38706 -0.395844 0.00580313 2.86014 1.58687 1
34.25 1.38716 -0.395822 0.00595249 2.86023 1.58704 1
34.75 1.3872 -0.395803 0.00601392 2.86026 1.5871 1
35.25 1.38718 -0.395789 0.00601772 2.86025 1.58707 1
35.75 1.38712 -0.39578 0.00596094 2.8602 1.58698 1
36.25 1.387 -0.395783 0.00582867 2.8601 1.58678 1
36.75 1.38679 -0.395808 0.0056078 2.85993 1.58645 1
37.25 1.3865 -0.395851 0.00529076 2.85969 1.58598 1
37.75 1.3861 -0.395912 0.00487506 2.85936 1.58535 1
38.25 1.3856 -0.395978 0.00436221 2.85895 1.58455 1
38.75 1.38501 -0.396057 0.00375936 2.85846 1.58359 1
39.25 1.38432 -0.396155 0.00307349 2.85789 1.58249 1
39.75 1.38357 -0.396263 0.00234787 2.85728 1.5813 1
40.25 1.38294 -0.396348 0.00172767 2.85675 1.58029 1
40.75 1.38243 -0.396418 0.00123205 2.85634 1.57948 1
41.25 1.38204 -0.396488 0.000845559 2.85601 1.57885 1
41.75 1.38173 -0.39654 0.000555081 2.85577 1.57836 1
42.25 1.38151 -0.396577 0.000348021 2.85558 1.57801 1
42.75 1.38135 -0.396602 0.000210517 2.85545 1.57776 1
43.25 1.38125 -0.39662 0.000119766 2.85537 1.57759 1
43.75 1.38118 -0.396632 5.76268e-05 2.85531 1.57748 1
44.25 1.38114 -0.396642 1.3394e-05 2.85528 1.57742 1
44.75 1.38114 -0.396642 -1.3394e-05 2.85528 1.57742 1
45.25 1.38118 -0.396632 -5.76268e-05 2.85531 1.57748 1
45.75 1.38125 -0.39662 -0.000119766 2.85537 1.57759 1
46.25 1.38135 -0.396602 -0.000210517 2.85545 1.57776 1
46.75 1.38151 -0.396577 -0.000348021 2.85558 1.57801 1
47.25 1.38173 -0.39654 -0.000555081 2.85577 1.57836 1
47.75 1.38204 -0.396488 -0.000845559 2.85601 1.57885 1
48.25 1.38243 -0.396418 -0.00123205 2.85634 1.57948 1
48.75 1.38294 -0.396348 -0.00172767 2.85675 1.58029 1
49.25 1.38357 -0.396263 -0.00234787 2.85728 1.5813 1
