0.005 0.0025 8.77262 -0.278548 -0.000273867 2.26042 0 1.84417
0.015 0.0025 8.76033 -0.277561 -0.00031922 2.2593 0 1.84068
0.025 0.0025 8.75576 -0.276495 -0.000348432 2.2585 0 1.83907
0.035 0.0025 8.75213 -0.275258 -0.0003689 2.25763 0 1.83759
0.045 0.0025 8.7502 -0.273881 -0.000379265 2.25673 0 1.83645
0.055 0.0025 8.74954 -0.272437 -0.000381377 2.25587 0 1.83562
0.065 0.0025 8.74988 -0.270978 -0.000376765 2.25503 0 1.835
0.075 0.0025 8.75019 -0.269577 -0.000352263 2.25423 0 1.83442
0.085 0.0025 8.75018 -0.268314 -0.000309379 2.25338 0 1.83373
0.095 0.0025 8.74841 -0.267268 -0.000253935 2.2526 0 1.83272
0.105 0.0025 8.74419 -0.266486 -0.000199569 2.25183 0 1.83121
0.115 0.0025 8.73687 -0.265959 -0.000147601 2.25109 0 1.82908
0.125 0.0025 8.72842 -0.265609 -9.98397e-05 2.25038 0 1.82673
0.135 0.0025 8.7209 -0.26527 -6.00879e-05 2.24974 0 1.82464
0.145 0.0025 8.71432 -0.264935 -3.20004e-05 2.24921 0 1.82283
0.155 0.0025 8.70841 -0.264649 -1.62985e-05 2.24883 0 1.82129
0.165 0.0025 8.70352 -0.26444 -1.13795e-05 2.24857 0 1.82005
0.175 0.0025 8.69952 -0.264329 -1.26776e-05 2.24842 0 1.8191
0.185 0.0025 8.69644 -0.264305 -1.84916e-05 2.24836 0 1.8184
0.195 0.0025 8.69467 -0.26433 -2.73037e-05 2.24833 0 1.81801
0.205 0.0025 8.69427 -0.264371 -3.77745e-05 2.24833 0 1.81793
0.215 0.0025 8.69495 -0.264415 -5.2057e-05 2.24835 0 1.81809
0.225 0.0025 8.69694 -0.264486 -6.89352e-05 2.2484 0 1.81854
0.235 0.0025 8.69942 -0.264571 -7.89398e-05 2.24846 0 1.8191
0.245 0.0025 8.70169 -0.264664 -8.23423e-05 2.2485 0 1.81962
0.255 0.0025 8.70323 -0.264754 -7.78138e-05 2.24853 0 1.81996
0.265 0.0025 8.70376 -0.264828 -6.59284e-05 2.24852 0 1.82006
